MidiLoopv4|https://mega.nz/file/ZkpmjAgJ#-PKxYJ6VErCRsSXO7jr2vE45JV56IIRlinYLDk6htUI|4.056|December 26 2023, View Release Notes While/After Installing.
Addon Manager|https://mega.nz/file/wkIVSYpC#iL9fTAqpSkbWKAqglXJcte15SErFz0ttkUbQ_cZzvy8|1.2|Update addon Manager to version 1.2 - Graphical Mode.
DropSeq|https://mega.nz/file/9pYjjSAT#r0c6oHfbJinJ7rX8v0hmVF_gv5pUNjcek6feAq7es9s|0.1.4|DropSeq is a Special Drop,Weight based 4 Track Midi Sequencer.
Euclidier|https://mega.nz/file/wkxVlbCD#l_xd-ZMxFn1WGHxT0ySiznF_46dC2JiwWUxIPIA0kj4|1.94|Euclidier is a headless 8 Track Euclidean sequencer for Akai Force.
RiffMaker 4T|https://mega.nz/file/Iwh1AA4C#pYWb4l-EGsh8_zbMThTffnOB1OTLjul6iyskJUZphyY|1.01beta|4 Track Monophonic Midi Sequencer/Pattern Generator.
PushLua|https://mega.nz/file/JLoFGLCR#KlqNjaT2wVW7hyWzS6qMYIs4Wk6yWp0vAGedBJIpd4I|1.02|Lua Framework for the Ableton Push 1
Sox|https://mega.nz/file/s0QiVTLD#FSfnEoJIWwrw-5TgLB5bePH7x1xyb5YMGQ87hFyig9s|14.4.2|SoX (Sound eXchange) is the Swiss Army knife of sound processing tools.
DxSex|https://mega.nz/file/49x3UAAb#dXp4raequh5YHTnlJPULhrRe4QvGVrYLRYbLD94jk6o|0.1.0|dxSEX - CC to Sysex Converter for DX7, VolcaFM, Dexed for Akai Force
NodeServer|https://mega.nz/file/V0wxlZzS#M6aXUfaIRBIKaXD16VEPzsC41Ea72F17EfDT5GK5BcU|1.44|NodeServer is a Web Application Server for Akai Force Hosting many Apps.
CustomBufferSize|https://mega.nz/file/UoYDwBaL#UGCsAKTkWBPTe5s0ZWzbR0HPSlun-qg-bl8YD5WN1Ng|1.0|ALSA Api Middleware To Allow Custom Period/Buffer Sizes.
CustomMetronome|https://mega.nz/file/k84xHJBZ#3KzbNEjdv1rTY0cYAouvK8v1ZWx3pBYBnYAIpUxaOtE|1.0|Use Custom Same as Metronome Sound (Clap) if you so desire..
noSentry|https://mega.nz/file/IhAjFYjb#WtDnaXv3FHbEKTlKfpUjzy5rP1O6vFfvJVjQAHSnRqQ|1.0|Addon to disable new error reporting sentry service in fw 3.3 and above.
emmcRepair|https://mega.nz/file/45Q2nDwJ#FNZ25EkO0ItpJqWEIVYq0OL3PPq1vkv3nmwE8mOgcxU|1.0|A Tool to Repair corruption of internal emmc that does happen time to time.
VNC Server|https://mega.nz/file/94Z3QJza#v0yCNc0sSzDtFNJNrEDG-_JsBCCrI7-Lz9V9vJ9Nnbw|1.0|Stream Force Screen to your Desktop/Phone Vnc Client (touch/mouse supported).
drmVncServer|https://mega.nz/file/h8JQEDJL#GX_IX-mJdSUJkM9Amu0_QoYrHiSdPCCQ9HeaUEJmIVU|1.0|Alternate VNC Server, uses less resources, but can fail to update screen at times.
soundBrowserUI|https://mega.nz/file/08hRRL4I#29R9VnQjc2ocYE2gdRZ9oj9Fik-fgMqvUjLtY_pvZ6g|3.2.5|Custom UI Skin For Sound Browser ( Dark / Better Contrast).
Custom Arp Patterns|https://mega.nz/file/0gghyZCY#HN1t6Hh2WMQ0w-8iCc6BlKaHzZ9lFnR_vV9sJ1oEOsI|1.0|Allows adding custom Arp Patterns/Sequences.
MPC FX Racks|https://mega.nz/file/thpwxYiQ#fJ2TGiaEiXw2lXv3wNNBgec1wn-MDQfnAEKEGxG9ICE|3.2.5|Fx Rack Presets from MPC.
